Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D90,LED,LED_PLCC_2835,184.65,-67.52,180.0,top
D91,LED,LED_PLCC_2835,184.65,-76.52,180.0,top
D92,LED,LED_PLCC_2835,184.65,-85.52,180.0,top
D93,LED,LED_PLCC_2835,184.65,-94.52,180.0,top
D94,LED,LED_PLCC_2835,184.65,-103.52,180.0,top
D95,LED,LED_PLCC_2835,184.65,-112.52,180.0,top
D96,LED,LED_PLCC_2835,184.65,-121.52,180.0,top
R1,2.49kΩ,R_0402_1005Metric,97.65,-34.03,-90.0,top
R2,10kΩ,R_0603_1608Metric,68.15,-117.695,-90.0,top
R4,2.49kΩ,R_0402_1005Metric,124.65,-33.52,-90.0,top
R6,2.49kΩ,R_0402_1005Metric,151.65,-33.52,-90.0,top
R8,2.49kΩ,R_0402_1005Metric,178.65,-33.52,-90.0,top
U2,TLC5947RHB,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,94.65,-40.52,0.0,top
U3,TLC5947RHB,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,121.65,-40.52,0.0,top
U4,TLC5947RHB,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,148.65,-40.52,0.0,top
U5,TLC5947RHB,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,175.65,-40.52,0.0,top
